"Latitude";"ACCESS1-0";"CMCC-CESM";"CMCC-CM";"CNRM-CM5";"GFDL-ESM2G";"GFDL-ESM2M";"GISS-E2-R";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"NorESM1-M";"NorESM1-ME"
-25;-0,344368527602859;4,37219090499338;4,71601176890573;-0,359575985994784;-0,632763608507046;-0,57363875241635;0,0139731750125568;-0,959855429302386;-0,951512857687996;-0,770994567329929;-0,695660427931867;-0,780714563814827;-0,236577316776867;-0,828030987440674;-0,822795319382408
-24;-0,361318950508698;4,37219090499338;4,71601176890573;-0,384642394506481;-0,665299981057468;-0,611668625079138;-0,000190698391813691;-0,959855429302386;-0,951512857687996;-0,770994567329929;-0,765012605778392;-0,823536959205956;-0,258104345957359;-0,589606190852949;-0,611337728845978
-23;-0,378348110917623;5,99268129660382;6,46316078216806;-0,415474622388212;-0,694619388989815;-0,64624486236189;-0,0166403774473557;-1,09835844526756;-1,08696282002504;-0,896608142658389;-0,829550133909851;-0,890301200626882;-0,270978377570987;-0,658406334805467;-0,619281568443912
-22;-0,400289393477266;5,99268129660382;6,46316078216806;-0,452704686394813;-0,729806255071625;-0,68436192739577;-0,0467222722926251;-1,09835844526756;-1,08696282002504;-0,896608142658389;-0,903839786995034;-0,928953762366946;-0,296231473443831;-0,681096272721406;-0,64447662429795
-21;-0,423058873304806;7,76093065776333;8,0815202956613;-0,499152922441543;-0,765955803877696;-0,722229338254455;-0,0781125379885454;-1,26916924814268;-1,25178236286164;-1,04337697267145;-0,959768465762466;-1,012259464965;-0,341538893518756;-0,661447668189557;-0,629010710288452
-20;-0,480914697528503;7,76093065776333;8,0815202956613;-0,549902702271316;-0,806509789918208;-0,803157116646872;-0,128546297231029;-1,26916924814268;-1,25178236286164;-1,04337697267145;-1,03707751970097;-1,05824731070684;-0,386799104928182;-0,642860843690707;-0,643397395021158
-19;-0,513548882917291;9,96339034922871;10,8127273835459;-0,59614413491288;-0,84572540003507;-0,84456488333405;-0,207327881282061;-1,41998909948269;-1,38616009654627;-1,16635385219433;-1,11084345222758;-1,12265868056868;-0,424995446122901;-0,658289614658443;-0,633911060211366
-18;-0,545608335238678;9,96339034922871;10,8127273835459;-0,638596588476166;-0,88585539987427;-0,881738878730234;-0,30665964410558;-1,41998909948269;-1,38616009654627;-1,16635385219433;-1,1757533999295;-1,17875673279333;-0,443952010727433;-0,64269083747225;-0,616750870715371
-17;-0,596902083779111;12,3488300174888;12,2254370013387;-0,669471022560982;-0,916243605236378;-0,914611639324732;-0,399242805233749;-1,48628827948509;-1,43776559851815;-1,21232647301604;-1,23383875013826;-1,22233393374577;-0,468871973322023;-0,62624549153239;-0,599348225512636
-16;-0,620133464883772;12,3488300174888;12,2254370013387;-0,69493328449543;-0,950667124201165;-0,951342454525664;-0,504567715996567;-1,48628827948509;-1,43776559851815;-1,21232647301604;-1,29709492366211;-1,28336597856056;-0,502951340897122;-0,613543269026701;-0,587345230286268
