"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
284,5;-65,4006438973527;-63,6379519161775;-62,2231439482343;-64,3920237283259;-63,6908396937867;-62,8225602665194;-66,9771490166425;-64,5892540554089;-63,822684409644;-68,4347527774437;-61,670251874717;-61,745369690771;-67,5531896552441;-67,9105637854193;-62,5494669541727;-64,054636370588;-68,4714355430496;-68,7210989229071;-62,0547722314687;-61,965161144564;-66,2059058646927;-64,9940019564349;-64,0219743433474;-63,9265647663364;-63,2456649444493;-64,9668938202141
285,5;-65,2370633916879;-63,5476870096505;-62,0398107676469;-64,1295327618742;-63,6885653005999;-62,9179908246151;-66,6300090544044;-64,5892540554089;-63,6491861229145;-68,4312063720016;-61,6094344515537;-61,6955647338529;-67,3796667744557;-67,6647296001454;-62,5580306924992;-63,9530788279246;-68,3393855005638;-68,0270653724844;-61,880101616314;-61,8011745134786;-65,8555377660129;-64,9125303853483;-63,8599988519764;-63,8120228766344;-63,0418407548451;-64,8208607245683
286,5;-65,0989371615767;-63,5476870096505;-61,8850754984088;-64,1295327618742;-63,6885653005999;-62,9179908246151;-66,3113141883056;-63,6329805411762;-63,6491861229145;-68,4312063720016;-61,6094344515537;-61,6955647338529;-67,2047021179109;-67,4299826435844;-62,5580306924992;-63,9530788279246;-68,3393855005638;-67,8412660989468;-61,880101616314;-61,8011745134786;-65,7510699548772;-64,7643313019652;-63,7526308414066;-63,7040346010422;-62,860132285102;-64,6834988114265
287,5;-64,9053471705938;-63,5476870096505;-61,757614849034;-63,886921161282;-63,6637525121762;-62,9312902997048;-65,8214211785459;-63,6329805411762;-63,6491861229145;-68,0312063720016;-61,6094344515537;-61,6955647338529;-66,7701350388248;-67,1771758367186;-62,5417463698574;-63,8293276673693;-67,8313248754613;-67,6769987087965;-61,7290493023816;-61,6022134135473;-65,45924746685;-64,6556598014192;-63,6769439955497;-63,6033447966607;-62,6857653397391;-64,5373407149159
288,5;-64,7127266803825;-61,1231591062829;-61,757614849034;-63,886921161282;-63,6637525121762;-62,9312902997048;-65,3398595819571;-62,9279514396865;-62,2411314598009;-67,1738344948786;-61,5425409648726;-61,6393262724688;-66,4713679353792;-66,6818120969224;-62,5417463698574;-63,8293276673693;-67,8313248754613;-67,0306188523422;-61,5021733380236;-61,1985551960391;-65,2688533110228;-64,4634086944046;-63,5870758624265;-63,5026309541578;-62,6857653397391;-64,5373407149159
289,5;-64,5474264870704;-61,1231591062829;-61,6257291097859;-63,7125269972553;-63,5780798088998;-62,8095638540527;-64,87047177758;-62,9279514396865;-62,2411314598009;-67,1738344948786;-61,5425409648726;-61,6393262724688;-66,4025314890798;-66,5262875177703;-62,401932043145;-63,6706118290817;-69;-66,9962398138476;-61,5021733380236;-61,1985551960391;-65,068063921723;-64,1810681593565;-63,4318767652848;-63,263332975371;-62,503038209503;-64,0625892957213
290,5;-64,3305398910267;-61,1231591062829;-61,3830049297195;-63,7125269972553;-63,5780798088998;-62,8095638540527;-64,5058276444955;-62,7657353735966;-61,7814016747699;-66,6866507864545;-60,1706898656984;-60,8698473879203;-66,2110411473513;-66,3865965470189;-62,401932043145;-63,6706118290817;-69;-67,6809546385905;-60,9937293345144;-60,8782155271515;-64,2076092327142;-63,917731531133;-63,1432744980853;-63,0847934020975;-62,1184681696523;-63,5766982899051
291,5;-64,0563879897375;-60,8856848496225;-60,9141684530799;-63,5848067165475;-63,2146332473616;-62,5135652862592;-63,9956149960666;-62,7657353735966;-61,7814016747699;-66,6866507864545;-60,1706898656984;-60,8698473879203;-65,9011405942055;-65,300027620138;-62,1025651970291;-63,4195171665283;-69;-67,7192007201055;-60,7137785128008;-60,344197459525;-63,9252376010589;-63,52925620541;-62,9408374174689;-62,9010429290574;-61,8166505142028;-63,1707242482984
292,5;-63,7426221293024;-60,8856848496225;-60,2887148202082;-63,5848067165475;-63,2146332473616;-62,5135652862592;-63,503062925346;-62,6881894371544;-61,7814016747699;-66,6866507864545;-60,1706898656984;-60,8698473879203;-64,3478567700385;-63,8956761981521;-62,1025651970291;-63,4195171665283;-69;-67,1579161673639;-60,7137785128008;-60,344197459525;-63,3646801960988;-62,8877289784054;-62,7606321152044;-62,7094481298464;-61,5153439025376;-62,8741010515531
293,5;-63,4305967376214;-60,8856848496225;-59,75229664578;-63,2487929211639;-62,7380106023255;-62,0811652001791;-62,8375213965864;-62,4033202921653;-60,263404098393;-65,6371949965053;-59,837182561397;-59,9929311443254;-63,6114423215666;-63,0930140217233;-61,6590807387649;-63,0793474456406;-67;-67;-60,1831137758652;-59,9923326344746;-62,8646075584314;-62,3267501952007;-62,4581830904785;-62,3449104768969;-61,0416742458144;-62,6030337531297
